Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
1,Private Health Insurance/Personal Health Care ($),State,7,Rocky Mountains,Montana,2126,2024,2359,2372,2765,2891,2899,3102,3114,3145,3659,3760,3870,3882,4.7
1,Private Health Insurance/Personal Health Care ($),State,4,Plains,Nebraska,2374,2594,2644,3117,2827,3155,3353,3467,3732,4029,4137,4325,4151,4536,5.1
1,Private Health Insurance/Personal Health Care ($),State,8,Far West,Nevada,1953,2349,2590,2895,3066,2903,2898,3306,4108,3893,3972,3279,3295,3417,4.4
1,Private Health Insurance/Personal Health Care ($),State,1,New England,New Hampshire,2254,2481,2735,3143,3452,3503,3744,4111,4581,4567,5007,4688,4738,4880,6.1
1,Private Health Insurance/Personal Health Care ($),State,2,Mideast,New Jersey,2454,2680,2834,3075,3130,3431,3614,3497,3938,4053,4442,4583,4959,5081,5.8
1,Private Health Insurance/Personal Health Care ($),State,6,Southwest,New Mexico,2204,1963,2243,2347,2564,2787,2770,2827,3510,3712,4095,4530,4399,4155,5
1,Private Health Insurance/Personal Health Care ($),State,2,Mideast,New York,2558,2635,2954,3016,3219,3586,3892,4088,4541,4922,5100,5111,5362,5338,5.8
1,Private Health Insurance/Personal Health Care ($),State,5,Southeast,North Carolina,2099,2672,2719,2625,2771,3060,3064,3317,3776,3660,3782,3770,3663,3859,4.8
1,Private Health Insurance/Personal Health Care ($),State,4,Plains,North Dakota,2192,2366,2358,2500,2578,3079,3112,3405,3583,3842,4218,4501,4567,4410,5.5
1,Private Health Insurance/Personal Health Care ($),State,3,Great Lakes,Ohio,2226,2344,2657,2921,3148,3244,3445,3647,3682,4107,4126,4091,4239,4371,5.3
1,Private Health Insurance/Personal Health Care ($),State,6,Southwest,Oklahoma,1933,2244,2509,2688,2963,2874,2904,2941,3453,3540,3426,3552,3570,3878,5.5
1,Private Health Insurance/Personal Health Care ($),State,8,Far West,Oregon,2101,2247,2579,2850,3034,3289,3519,3682,4069,4242,4215,4325,4120,4232,5.5
1,Private Health Insurance/Personal Health Care ($),State,2,Mideast,Pennsylvania,2295,2426,2603,2879,3163,3299,3443,3590,3766,3896,4304,4318,4525,4634,5.6
1,Private Health Insurance/Personal Health Care ($),State,1,New England,Rhode Island,2375,2613,2796,3163,3505,3455,3767,4044,4264,4942,4731,4870,4802,4620,5.3
1,Private Health Insurance/Personal Health Care ($),State,5,Southeast,South Carolina,2140,2226,2402,2746,2863,3089,3256,3396,3661,3649,4006,3916,4094,4235,5.4
1,Private Health Insurance/Personal Health Care ($),State,4,Plains,South Dakota,2053,2504,2554,2890,2906,3019,3005,3345,3553,3567,3962,4159,4353,4335,5.9
1,Private Health Insurance/Personal Health Care ($),State,5,Southeast,Tennessee,2091,2360,2620,3025,3098,3007,3295,3710,3793,3912,4028,4355,4548,4680,6.4
1,Private Health Insurance/Personal Health Care ($),State,6,Southwest,Texas,2158,2500,2709,2843,3183,3222,3356,3413,3838,4150,4093,4365,4582,4696,6.2
1,Private Health Insurance/Personal Health Care ($),State,7,Rocky Mountains,Utah,1998,2241,2156,2336,2831,2967,2955,2877,3022,3141,3296,3373,3486,3657,4.8
1,Private Health Insurance/Personal Health Care ($),State,1,New England,Vermont,2351,2573,2783,3110,3360,3208,3626,3793,4388,4207,4770,4690,4955,5313,6.5
1,Private Health Insurance/Personal Health Care ($),State,5,Southeast,Virginia,2121,2238,2461,2876,2836,2989,3176,3178,3332,3625,3586,3855,3975,4218,5.4
1,Private Health Insurance/Personal Health Care ($),State,8,Far West,Washington,2052,2591,2726,2842,3097,3174,3481,3744,4034,4279,4098,4435,4348,4328,5.9
1,Private Health Insurance/Personal Health Care ($),State,5,Southeast,West Virginia,1900,2436,2574,2587,2896,3138,3365,3379,3430,3452,3972,4261,4100,3917,5.7
1,Private Health Insurance/Personal Health Care ($),State,3,Great Lakes,Wisconsin,2397,2814,2928,3124,3506,3614,3899,4080,4653,4749,5036,4940,4997,5159,6.1
1,Private Health Insurance/Personal Health Care ($),State,7,Rocky Mountains,Wyoming,2266,2658,2840,2852,3161,3242,3676,3829,4190,4117,4315,4667,4775,4957,6.2
